Время;Расположение источника;Источик;Тип сообщения;Комментарий;
;;;;;
2014.07.03  11:40:54.222;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 25 66 05 02 00 33 01 03 00 00 00 07 00 40 55 43 164 83 00 186 60 38 12 20 06 14 104 220 68 05 02 00 36 14 03 00 00 00 49 00 06 00 00 128 63 00 202 60 38 12 20 06 14 50 00 06 61 10 102 66 00 202 60 38 12 20 06 14 127 00 07 00 00 196 193 00 202 60 38 12 20 06 14 53 00 08 174 71 225 62 00 202 60 38 12 20 06 14 54 00 08 205 140 30 67 00 202 60 38 12 20 06 14 85 00 09 215 35 05 67 00 202 60 38 12 20 06 14 86 00 09 236 81 28 194 00 202 60 38 12 20 06 14 69 00 10 31 133 139 63 00 202 60 38 12 20 06 14 70 00 10 41 156 00 67 00 202 60 38 12 20 06 14 58 00 11 61 10 196 194 00 202 60 38 12 20 06 14 77 00 12 10 215 35 60 00 202 60 38 12 20 06 14 78 00 12 164 112 222 66 00 202 60 38 12 20 06 14 69 00 13 133 235 209 62 00 202 60 38 12 20 06 14 70 00 13 82 184 198 193 00 202 60 38 12 20 06 14 ;
2014.07.03  11:40:55.224;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 40 70 05 02 00 33 02 03 00 00 00 185 00 02 61 08 33 94 00 149 61 38 12 20 06 14 00 64 18 55 43 164 83 00 149 61 38 12 20 06 14 104 250 72 05 02 00 36 16 03 00 00 00 157 00 02 00 00 00 00 00 165 61 38 12 20 06 14 159 00 02 00 04 159 198 00 165 61 38 12 20 06 14 160 00 02 00 144 173 70 00 165 61 38 12 20 06 14 163 00 02 00 00 27 67 00 165 61 38 12 20 06 14 164 00 02 00 00 160 65 00 165 61 38 12 20 06 14 165 00 02 00 00 248 65 00 165 61 38 12 20 06 14 166 00 02 00 28 130 70 00 165 61 38 12 20 06 14 167 00 02 00 00 136 65 00 165 61 38 12 20 06 14 168 00 02 00 00 254 66 00 165 61 38 12 20 06 14 169 00 02 00 160 37 70 00 165 61 38 12 20 06 14 170 00 02 00 144 151 69 00 165 61 38 12 20 06 14 171 00 02 00 00 128 65 00 165 61 38 12 20 06 14 173 00 02 00 00 27 67 00 165 61 38 12 20 06 14 174 00 02 00 00 32 65 00 165 61 38 12 20 06 14 175 00 02 00 00 08 66 00 165 61 38 12 20 06 14 176 00 02 00 46 130 70 00 165 61 38 12 20 06 14 104 250 74 05 02 00 36 16 03 00 00 00 177 00 02 00 00 144 65 00 165 61 38 12 20 06 14 178 00 02 00 00 212 66 00 165 61 38 12 20 06 14 179 00 02 00 220 30 70 00 165 61 38 12 20 06 14 180 00 02 00 224 84 69 00 165 61 38 12 20 06 14 181 00 02 00 00 136 65 00 165 61 38 12 20 06 14 183 00 02 00 00 27 67 00 165 61 38 12 20 06 14 184 00 02 00 00 192 64 00 165 61 38 12 20 06 14 128 00 07 51 51 51 191 00 165 61 38 12 20 06 14 129 00 07 195 245 71 66 00 165 61 38 12 20 06 14 55 00 08 246 168 221 66 00 165 61 38 12 20 06 14 56 00 08 10 215 163 60 00 165 61 38 12 20 06 14 58 00 08 51 51 220 194 00 165 61 38 12 20 06 14 72 00 10 225 58 30 67 00 165 61 38 12 20 06 14 72 00 13 00 128 170 194 00 165 61 38 12 20 06 14 152 00 34 00 00 80 65 00 165 61 38 12 20 06 14 153 00 34 00 160 68 197 00 165 61 38 12 20 06 14 104 205 76 05 02 00 36 13 03 00 00 00 155 00 34 00 176 06 69 00 165 61 38 12 20 06 14 158 00 34 00 00 48 65 00 165 61 38 12 20 06 14 159 00 34 00 00 80 65 00 165 61 38 12 20 06 14 160 00 34 00 204 112 70 00 165 61 38 12 20 06 14 161 00 34 00 00 48 65 00 165 61 38 12 20 06 14 162 00 34 00 00 80 65 00 165 61 38 12 20 06 14 163 00 34 00 80 113 70 00 165 61 38 12 20 06 14 165 00 34 00 176 06 69 00 165 61 38 12 20 06 14 166 00 34 00 00 64 65 00 165 61 38 12 20 06 14 167 00 34 00 00 64 65 00 165 61 38 12 20 06 14 169 00 34 00 00 64 65 00 165 61 38 12 20 06 14 170 00 34 00 16 114 70 00 165 61 38 12 20 06 14 171 00 34 00 00 48 65 00 165 61 38 12 20 06 14 ;
2014.07.03  11:40:56.232;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 250 78 05 02 00 36 16 03 00 00 00 159 00 04 00 00 87 69 00 128 62 38 12 20 06 14 160 00 04 00 106 163 70 00 128 62 38 12 20 06 14 163 00 04 00 00 27 67 00 128 62 38 12 20 06 14 164 00 04 00 00 160 65 00 128 62 38 12 20 06 14 165 00 04 00 00 96 65 00 128 62 38 12 20 06 14 166 00 04 00 00 192 64 00 128 62 38 12 20 06 14 167 00 04 00 00 32 65 00 128 62 38 12 20 06 14 168 00 04 00 00 126 70 00 128 62 38 12 20 06 14 169 00 04 00 72 113 70 00 128 62 38 12 20 06 14 170 00 04 00 72 198 69 00 128 62 38 12 20 06 14 171 00 04 00 00 48 65 00 128 62 38 12 20 06 14 173 00 04 00 00 27 67 00 128 62 38 12 20 06 14 174 00 04 00 00 184 65 00 128 62 38 12 20 06 14 175 00 04 00 00 48 65 00 128 62 38 12 20 06 14 176 00 04 00 00 128 64 00 128 62 38 12 20 06 14 177 00 04 00 00 48 65 00 128 62 38 12 20 06 14 104 205 80 05 02 00 36 13 03 00 00 00 178 00 04 00 96 125 70 00 128 62 38 12 20 06 14 179 00 04 00 140 92 70 00 128 62 38 12 20 06 14 180 00 04 00 192 196 69 00 128 62 38 12 20 06 14 181 00 04 00 00 80 65 00 128 62 38 12 20 06 14 183 00 04 00 00 27 67 00 128 62 38 12 20 06 14 184 00 04 00 00 168 65 00 128 62 38 12 20 06 14 51 00 06 195 245 121 66 00 128 62 38 12 20 06 14 52 00 06 41 92 240 66 00 128 62 38 12 20 06 14 60 00 08 51 243 51 67 00 128 62 38 12 20 06 14 87 00 09 82 184 07 67 00 128 62 38 12 20 06 14 88 00 09 174 71 15 194 00 128 62 38 12 20 06 14 59 00 11 61 10 222 66 00 128 62 38 12 20 06 14 60 00 11 246 232 51 67 00 128 62 38 12 20 06 14 ;
2014.07.03  11:40:56.252;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Получено: 104 04 01 00 80 05 ;
2014.07.03  11:40:57.238;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 40 82 05 02 00 33 02 03 00 00 00 07 00 36 53 43 164 83 00 75 63 38 12 20 06 14 03 64 36 53 43 164 83 00 75 63 38 12 20 06 14 104 250 84 05 02 00 36 16 03 00 00 00 93 00 36 184 158 200 66 00 75 63 38 12 20 06 14 94 00 36 51 179 199 66 00 75 63 38 12 20 06 14 95 00 36 154 153 25 62 00 75 63 38 12 20 06 14 158 00 37 00 36 70 198 00 75 63 38 12 20 06 14 159 00 37 00 116 05 70 00 75 63 38 12 20 06 14 160 00 37 00 00 48 65 00 75 63 38 12 20 06 14 162 00 37 00 208 06 69 00 75 63 38 12 20 06 14 163 00 37 00 00 32 65 00 75 63 38 12 20 06 14 164 00 37 00 00 48 65 00 75 63 38 12 20 06 14 165 00 37 00 00 48 65 00 75 63 38 12 20 06 14 167 00 37 00 00 48 65 00 75 63 38 12 20 06 14 168 00 37 00 28 80 70 00 75 63 38 12 20 06 14 169 00 37 00 96 211 68 00 75 63 38 12 20 06 14 170 00 37 00 00 80 65 00 75 63 38 12 20 06 14 172 00 37 00 208 06 69 00 75 63 38 12 20 06 14 173 00 37 00 00 48 65 00 75 63 38 12 20 06 14 104 175 86 05 02 00 36 11 03 00 00 00 174 00 37 00 00 32 65 00 75 63 38 12 20 06 14 176 00 37 00 00 48 65 00 75 63 38 12 20 06 14 177 00 37 00 00 48 65 00 75 63 38 12 20 06 14 178 00 37 00 204 83 70 00 75 63 38 12 20 06 14 179 00 37 00 224 131 68 00 75 63 38 12 20 06 14 180 00 37 00 00 64 65 00 75 63 38 12 20 06 14 182 00 37 00 208 06 69 00 75 63 38 12 20 06 14 183 00 37 00 00 48 65 00 75 63 38 12 20 06 14 184 00 37 00 00 32 65 00 75 63 38 12 20 06 14 185 00 37 00 00 32 65 00 75 63 38 12 20 06 14 186 00 37 00 00 48 65 00 75 63 38 12 20 06 14 ;
2014.07.03  11:40:58.243;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 130 88 05 02 00 33 08 03 00 00 00 07 00 00 56 43 164 83 00 22 64 38 12 20 06 14 12 00 00 163 01 00 00 00 22 64 38 12 20 06 14 45 00 00 163 01 00 00 00 22 64 38 12 20 06 14 07 00 18 55 43 164 83 00 22 64 38 12 20 06 14 07 00 34 54 43 164 83 00 22 64 38 12 20 06 14 03 64 34 54 43 164 83 00 22 64 38 12 20 06 14 07 00 38 54 43 164 83 00 22 64 38 12 20 06 14 03 64 38 54 43 164 83 00 22 64 38 12 20 06 14 104 250 90 05 02 00 36 16 03 00 00 00 53 00 06 164 112 125 63 00 22 64 38 12 20 06 14 54 00 06 61 10 122 194 00 22 64 38 12 20 06 14 62 00 08 195 117 180 194 00 22 64 38 12 20 06 14 89 00 09 123 212 11 67 00 22 64 38 12 20 06 14 90 00 09 10 215 26 194 00 22 64 38 12 20 06 14 73 00 10 236 209 209 66 00 22 64 38 12 20 06 14 62 00 11 123 212 44 67 00 22 64 38 12 20 06 14 81 00 12 154 153 177 65 00 22 64 38 12 20 06 14 74 00 13 195 245 168 64 00 22 64 38 12 20 06 14 42 00 18 188 116 147 60 00 22 64 38 12 20 06 14 44 00 18 10 215 163 60 00 22 64 38 12 20 06 14 45 00 18 215 163 192 64 00 22 64 38 12 20 06 14 46 00 18 225 122 196 64 00 22 64 38 12 20 06 14 47 00 18 225 122 196 64 00 22 64 38 12 20 06 14 48 00 18 00 00 216 193 00 22 64 38 12 20 06 14 49 00 18 00 00 15 195 00 22 64 38 12 20 06 14 104 100 92 05 02 00 36 06 03 00 00 00 50 00 18 00 00 184 66 00 22 64 38 12 20 06 14 52 00 18 00 00 236 194 00 22 64 38 12 20 06 14 53 00 18 00 00 242 66 00 22 64 38 12 20 06 14 96 00 34 195 245 71 66 00 22 64 38 12 20 06 14 93 00 38 51 51 212 66 00 22 64 38 12 20 06 14 94 00 38 92 15 211 66 00 22 64 38 12 20 06 14 ;
2014.07.03  11:40:59.269;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 100 94 05 02 00 33 06 03 00 00 00 07 00 02 54 43 164 83 00 225 64 38 12 20 06 14 03 64 02 54 43 164 83 00 225 64 38 12 20 06 14 07 00 03 54 43 164 83 00 225 64 38 12 20 06 14 03 64 03 54 43 164 83 00 225 64 38 12 20 06 14 07 00 37 54 43 164 83 00 225 64 38 12 20 06 14 03 64 37 54 43 164 83 00 225 64 38 12 20 06 14 104 250 96 05 02 00 36 16 03 00 00 00 93 00 02 31 133 200 66 00 225 64 38 12 20 06 14 94 00 02 31 133 199 66 00 225 64 38 12 20 06 14 73 00 03 246 68 188 69 00 225 64 38 12 20 06 14 74 00 03 102 176 190 69 00 225 64 38 12 20 06 14 75 00 03 184 168 188 69 00 225 64 38 12 20 06 14 76 00 03 113 61 54 66 00 225 64 38 12 20 06 14 78 00 03 205 140 97 67 00 225 64 38 12 20 06 14 79 00 03 215 163 152 65 00 225 64 38 12 20 06 14 63 00 08 41 92 123 66 00 225 64 38 12 20 06 14 65 00 08 154 153 25 62 00 225 64 38 12 20 06 14 66 00 08 61 10 247 65 00 225 64 38 12 20 06 14 75 00 10 143 194 245 61 00 225 64 38 12 20 06 14 76 00 10 143 02 04 195 00 225 64 38 12 20 06 14 75 00 13 10 215 227 63 00 225 64 38 12 20 06 14 76 00 13 246 40 12 192 00 225 64 38 12 20 06 14 93 00 37 20 46 212 66 00 225 64 38 12 20 06 14 104 40 98 05 02 00 36 02 03 00 00 00 94 00 37 123 20 211 66 00 225 64 38 12 20 06 14 95 00 37 174 71 97 62 00 225 64 38 12 20 06 14 ;
2014.07.03  11:40:59.285;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Получено: 104 04 01 00 100 05 ;
2014.07.03  11:41:00.297;IEC104;Connect 17, 192.168.240.21:44380. Сервер. ;Состояние алгоритма;Отправлено: 104 70 100 05 02 00 33 04 03 00 00 00 07 00 04 58 43 164 83 00 188 65 38 12 20 06 14 03 64 04 58 43 164 83 00 188 65 38 12 20 06 14 07 00 05 54 43 164 83 00 188 65 38 12 20 06 14 03 64 05 54 43 164 83 00 188 65 38 12 20 06 14 104 250 102 05 02 00 36 16 03 00 00 00 93 00 04 246 40 212 66 00 188 65 38 12 20 06 14 94 00 04 215 35 211 66 00 188 65 38 12 20 06 14 96 00 04 123 20 46 62 00 188 65 38 12 20 06 14 101 00 04 195 245 71 66 00 188 65 38 12 20 06 14 73 00 05 133 197 189 69 00 188 65 38 12 20 06 14 74 00 05 184 144 189 69 00 188 65 38 12 20 06 14 75 00 05 72 47 190 69 00 188 65 38 12 20 06 14 76 00 05 00 00 136 64 00 188 65 38 12 20 06 14 77 00 05 10 215 66 66 00 188 65 38 12 20 06 14 78 00 05 51 243 55 67 00 188 65 38 12 20 06 14 79 00 05 225 122 124 65 00 188 65 38 12 20 06 14 55 00 06 82 184 221 66 00 188 65 38 12 20 06 14 56 00 06 143 194 245 60 00 188 65 38 12 20 06 14 67 00 08 143 194 117 62 00 188 65 38 12 20 06 14 68 00 08 92 143 11 67 00 188 65 38 12 20 06 14 91 00 09 154 153 17 65 00 188 65 38 12 20 06 14 104 40 104 05 02 00 36 02 03 00 00 00 64 00 11 10 215 35 188 00 188 65 38 12 20 06 14 83 00 12 113 61 182 65 00 188 65 38 12 20 06 14 ;
